これらの係数は、最適なα値が学習セットサイズに左右されないようにするために選ばれている。	These factors were chosen to ensure that the ooptimal a value is independent from the training set size.
0以外の重みを持つ特徴量がほとんどないモデル	model with few nonzero feature weights.
このように、全体の最適値にパラメータが近づいてくると、、勾配は緩やかになる。	As you can see, the gradients get smaller as the parameters approach the global optimum, so gradient descent naturally slows down.
モデルの学習とは、モデルが学習セットに最もよく適合するようなモデルパラメータを見つけることだ	training a model means setting its parameters so that the model best fits the training set.
エラスティックネット回帰はリッジ回帰とラッソ回帰の中間である	elastic net regression is a middle ground between ridge regression and lasso regression.
@演算子は行列の乗算を行う。	The @ operator performs matrix multiplication.
これは、モデルが学習データを過学習し始めたことを示す	this indicates that the model has started to overfit the training data.
これでロジスティック回帰は、2値分類器になる。	This makes it a binary classifier.
ロジスティック回帰が確率を推定して予測をすることはわかった	now you konow how a logistic regression model estimates probabilities and makes predictions.
学習セット全体に対する損失関数は、単純にすべての学習インスタンスのコストの平均である	the cost function over the whole training set is the average cost over all training instances.
モデルを学習セットにベストフィットさせる為のモデルパラメータ（つまり、学習セットに対して損失関数が最小になるようなモデルパラメータ）を直接計算する「閉形式の方程式」を使う方法。	Using a "closed-form" equation that directly computes the model parameters that best fit the model to the training set (i.e., the model parameters that minimize the cost function over the training set).
驚くべきことに、線形モデルは非線形データに適合させられる。	Surprisingly, you can use a linear model to fit nonlinear data.
sklearn.base.clone()では、モデルのハイパーパラメータしかコピーされない	sklearn.base.clone() only copies the model's hyperparameters.
より一般的に、線形モデルとは、式4-1に示すように、入力特徴量の加重総和に、バイアス項（bias term、切片項：intercept termとも呼ばれる。）という定数を加えたものである。	More generally, a linear model makes a prediction by simply computing a weighted sum of the input features, plus a constant called the bias term (also called the intercept term), as shown in Equation 4-1.
わずかながら重なり合う部分があることに注意しよう	Notice that there is a bit of overlap.
X_polyは、Xのもともとの特徴量にその2乗の新しい特徴量を追加したものになっている。	X_poly now contains the original feature of X plus the square of this fracture.
ごくわずかな学習セットで学習されたモデルでは、十分に汎化できないため、最初のうちは検証誤差はかなり大きい。	When the model is trained on very few training instances, it is incapable of generalizing properly, which is why the validation error is initially quite large.
特に七里大規模なミニバッチを使えば誤差が小さくなる。	especially with fairly large mini-batches.
これをソフトマックス回帰あるいは、多項ロジスティック回帰と呼ぶ	this is calledsoftmax regression, or multinominal logistic regression.
学習の目的は、ターゲットクラスを高い確率で推定するモデルを作ることだ	the objective is to have a model that estimates a high probability for the target class.
一般に、インスタンスがそのクラスに属するかどうかによって1または0になる	In general, it is either equal to 1 or 0, depending on whether the instance belongs to the class or not.
（適合の評価方法としては、学習曲線というものもある。）学習曲線とは、学習イテレーションの関数としてモデルの訓練誤差と検証誤差をプロットしたものである。	(Another way to tell is to look at the learning curves,)which are plots of the model’s training error and validation error as a function of the training iteration.
RidgeCVクラスもリッジ回帰を行うが、さらに公差検証を使ったハイパラメータの自動調整を行う。	The RidgeCV class also performs ridge regression, but it automatically tunes hyperparmeters using cross-validation.
私達は、機械学習の最初のブラックボックスをこじ開けたのだ。	we've opened up the first machine learning black boxes!
線形回帰と同様に、リッジ回帰ら閉形式の方程式の計算でも勾配降下法による学習でも実行できる。	As with linear regression, we can perform ridge regression either by computing a closed-form equation or by performing gradient descent.
モデルが学習データに過小適合している場合、学習データを追加しても改善しない。	If your model is underfitting the training data, adding more training examples will not help.
ノイズのおかげでもとの関数の正確なパラメータは復元できなくなっている。	the noise made it impossible to recover the exact parameters of the original function.
バイアスの高いモデルは、学習データに対して過小適合しやすい。	A high-bias model is most likely to underfit the training data.
このような逆行列計算の計算量は、一般にO(n^2.4)からO(n^3)である。	The computational complexity of inverting such a matrix is typically about O(n^2.4) to O(n^3).
学習率を大きくすればするほど、アルゴリズムは発散してよい解を見つけられなくなる。	This might make the algorithm diverge, with larger and larger values, failing to find a good solution.
勾配降下法を実装するためには、個々のモデルパラメータΘ_jについて損失関数の勾配を計算する必要がある。	To implement gradient descent, you need to compute the gradient of the cost function with regard to each model parameter Θ_j.
勾配ベクトルを得たとき、全体として上を向いているなら、逆の方向に向かえば下に向かう。	Once you have the gradient vector, which points uphill, just go in the opposite direction to go downhill.
バッチ勾配降下法の最大の問題は、勾配を計算するために各ステップで学習セットを全部使うことにより、学習セットが大きいときには計算速度が極端に遅くなることだ。	The main problem with batch gradient descent is the fact that it uses the whole training set to compute the gradients at every step, which makes it very slow when the training set is large.
つまり、ランダム性は局所的な最小値から逃れるためにはよいが、最小値に落ち着かない可能性があるという点ではよくない。	Therefore, randomness is good to escape from local optima, but bad because it means that the algorithm can never settle at the minimum.
勾配降下法(gradient descent)は、非常に広い範囲の問題の最適解を見つけられる汎用性が高い最適化アルゴリズムだ。	Gradient descent is a generic optimization algorithm capable of finding optimal solutions to a wide range of problems.
バッチ勾配降下法のコードが学習セット全体を対象とする計算を1,000回繰り返したのに対し、このコードは学習セットを50回処理するだけでかなり良い解にたどり着く。	While the batch gradient descent code iterated 1,000 times through the whole training set, this code goes through the training set only 50 times and reaches a pretty good solution:
scikit-learnを使っていてSGDで線形回帰を行いたい場合には、デフォルトでMSE損失関数を最適化するSGDRegressorクラスを使えばよい。	To perform linear regression using stochastic GD with Scikit-Learn, you can use the SGDRegressor class, which defaults to optimizing the MSE cost function.
バイアス項bはマージンの大きさに影響を与えないことに注意しよう。	Note that the bias term b has no influence on the size of the margin
QPソルバーを使うのは、SVMを学習するための方法の1つである。	Using a QP solver is one way to train an SVM.
条件付き最適化問題は、緻密な関連を持つ別の問題でも表現できる	Given a constrained optimization problem, know as the primal problem it is possible to express a different but closely related problem
SVMは規模が中以下(インスタンス数が数百から数千のもの)の非線形データセットで力を発揮し、特に分類の仕事に向いている。	SVMs shine with small to medium-sized nonlinear datasets (i.e., hundreds to thousands of instances), especially for classification tasks.
学習インスタンスの数が特徴量の数よりも少ない場合は、双対問題を解く方が主問題を解くよりも早い。	The dual problem is faster to solve than the primal one when the number of training instances is smaller than the number of features.
ハードマージン分類には、データが線形分割できるときでなければ使えず、外れ値に敏感になりすぎるという2つの大きな問題点がある。	There are two main issues with hard margin classification. First, it only works if the data is linearly separable. Second, it is sensitive to outliers.
関数K(a,b)=(a^t b)^2は、2次元多項式カーネルと呼ばれている。	The function K(a,b) = (a b)2 is a second-degree polynomial kernel.
SVM分類器は新規性検知にも使える。	SVMs can also be used for novelty detection.
同じトリックを使ってバイアス項のbも計算しなければならない	you need to use the  same trick to compute the bias term b
SVMモデルが過学習している場合には、Cを小さくして正則化するとよい。	If your SVM model is overfitting, you can try regularizing it by reducing C.
εを小さくするとサポートベクターの数が増え、モデルを正則化する。	Reducing ε increases the number of support vectors, which regularizes the model.
多項式特徴量の追加は簡単に実装でき、あらゆる種類の機械学習アルゴリズム (SVMに限らず)ですばらしく機能するが、次数が低いと非常に複雑なデータセットを処理できず、次数が高いと特徴量が膨大な数になってモデルが遅くなりすぎる。	Adding polynomial features is simple to implement and can work great with all sorts of machine learning algorithms (not just SVMs). That said, at a low polynomial degree this method cannot deal with very complex datasets, and with a high polynomial degree it creates a huge number of features, making the model too slow.
一部のカーネルは、特定のデータ構造に特化している。	Some kernel are specialized for specific data structures.
実際に類似性特徴量を追加しなくても、多数の類似性特徴量を追加したのと同じ結果が得られるのである。	making it possible to obtain a similar result as if you had added many similarity features, but without actually doing so.
非線形問題には、個々のインスタンスが特定のランドマーク（landmark）にどの程度近いかを測定する類似性関数 （simlarity function）の計算結果を特徴遼として追加するという方法でも対処できる(二章で地理的類似性特徴量を追加したときと同じように）。	Another technique to tackle nonlinear problems is to add features computed using a similarity function, which measures how much each instance resembles a particular landmark, as we did in Chapter 2 when we added the geographic similarity features.
学習セットが非常に大きい場合、同じように特徴量数も多くなってしまう。	If your training set is very large, you end up with an equally large number of features.
学習には、逐次的学習に対応し、ほとんどメモリを消費しないSGDを使うため、RAMに入り切らない大規模なデータセットでモデルを学習するときにも使える。	For training it uses stochastic gradient descent,which allows incremental learning and uses little memory, so you can use it to train a model on a large dataset that does not fit in RAM.
決定木は、回帰のタスクもこなせる。	decision trees are also capable of performing regression tasks
決定木は、回帰でも分類のときと同じように過学習しがちだ。	just like for classification tasks, decision trees are prone to overfitting when dealing with regression tasks.
決定木は理解、解釈しやすく、使いやすく、柔軟で、強力である。	they are relatively easy to understand and interpret ,simple to use, versatile, and powerful.
より一般的に言うと、決定木の最大の問題は、ばらつきが大きいことだ。	More generally, the main issue with decision trees is that they have quite a high variance.
CARTアルゴリズムは、学習セットの2分割に成功したらサブセットを同じ論理で分割し、その次はサブサブセットの分割というように再帰的に分割する。	Once the CART algorithm has successfully split the training set in two, it splits the subsets using the same logic, then the sub-subsets, and so on, recursively.
エントロピーの概念は熱力学で分子の乱雑さの指標として使ったのが最初である。	The concept of entropy originated in thermodynamics as a measure of molecular disorder
この確率が指定されたしきい値より高ければ、ノードは不要だと考えられ、その子は削除される。	If this probability is higher than a given threshold then the node is considered unnecessary and its children are deleted.
決定木は強力で、複雑なデータセットに適合できる。	They(decision trees) are powerful algorithms, capable of fitting complex datasets.
ルートノードからスタートする。	You start at the root node.
正則化ハイパーパラメータは使うアルゴリズムによって異なるが、一般に少なくとも決定木の深さの上限は制限できる。	The regularization hyperparameters depend on the algorithm used, but generally you can at least restrict the maximum depth of the decision tree.
ノードの条件に当てはまるすべての学習インスタンスが同じクラスに属するなら、そのノードは「純粋」 (gini=0)である。	a node is "pure" (gini=0) if all training instances it applies to belong to the same class.
